participant	gender	age	handedness	block_num	trial_num	practicing	mask_type	mask_size	background	figure	d_orientation	rt	response	initial_fixation
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	18	False	peripheral	6	circle	figure	0	1.14914083481	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	19	False	peripheral	6	square	background	90	0.937002897263	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	20	False	peripheral	6	circle	background	90	0.799424886703	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	21	False	peripheral	8	square	figure	90	0.76797914505	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	22	False	peripheral	8	circle	figure	270	2.2331840992	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	23	False	peripheral	8	square	background	270	0.883924007416	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	24	False	peripheral	8	circle	background	270	0.892825841904	CIRCLE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	1	False	peripheral	8	circle	background	270	2.35637903214	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	2	False	central	8	square	figure	0	2.21282911301	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	3	False	central	4	circle	background	90	0.972490787506	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	4	False	peripheral	4	square	figure	90	0.704916954041	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	5	False	peripheral	8	square	background	0	0.737799882889	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	6	False	peripheral	8	square	figure	270	0.768265008926	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	7	False	central	4	square	figure	270	1.10569286346	SQUARE	BOTTOM
